fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_a00.data	  5.0	-1.568	 3.878	
p30_a01.data	  5.0	-1.462	 3.615	
p30_a02.data	  5.0	-1.492	 3.443	
p30_a03.data	  5.0	-1.402	 3.258	
p30_a04.data	  5.0	-1.434	 3.152	
p30_a05.data	  5.0	-1.435	 3.052	
p30_a06.data	  5.0	-1.392	 2.821	
p30_a07.data	  5.0	-1.399	 2.754	
p30_a08.data	  5.0	-1.182	 2.458	
p30_a09.data	  5.0	-1.246	 2.406	
p30_a10.data	  5.0	-1.167	 2.317	
p30_a20.data	  5.0	-1.176	 1.881	
p30_a30.data	  5.0	-1.092	 1.153	
p30_a40.data	  5.0	-1.056	 1.527	
p30_a50.data	  5.0	-1.108	 1.443	
p30_a60.data	  5.0	-1.195	 1.301	
p30_a70.data	  5.0	-1.221	 1.157	
p30_a80.data	  5.0	-1.421	 0.912	
p30_a90.data	  5.0	-1.636	 0.618	
