fileName	anglePitch	forceMaxAdhesion	forceMaxShear
p30_a00.data	 10.0	-2.371	 6.014	
p30_a01.data	 10.0	-2.438	 6.008	
p30_a02.data	 10.0	-2.451	 5.948	
p30_a03.data	 10.0	-2.489	 5.743	
p30_a04.data	 10.0	-2.236	 5.144	
p30_a05.data	 10.0	-2.117	 4.732	
p30_a06.data	 10.0	-1.665	 3.966	
p30_a07.data	 10.0	-1.589	 3.717	
p30_a08.data	 10.0	-1.563	 3.554	
p30_a09.data	 10.0	-1.484	 3.360	
p30_a10.data	 10.0	-1.532	 3.312	
p30_a20.data	 10.0	-1.296	 2.456	
p30_a30.data	 10.0	-1.214	 2.157	
p30_a40.data	 10.0	-1.213	 2.069	
p30_a50.data	 10.0	-1.275	 2.016	
p30_a60.data	 10.0	-1.173	 1.671	
p30_a70.data	 10.0	-1.223	 1.468	
p30_a80.data	 10.0	-1.444	 1.176	
p30_a90.data	 10.0	-1.641	 0.743	
p35_a00.data	 10.0	-3.321	 11.622	
p35_a01.data	 10.0	-3.449	 11.853	
p35_a02.data	 10.0	-3.483	 11.466	
p35_a03.data	 10.0	-3.108	 10.066	
p35_a04.data	 10.0	-3.126	 9.703	
p35_a05.data	 10.0	-3.238	 9.731	
p35_a06.data	 10.0	-3.294	 9.474	
p35_a07.data	 10.0	-3.355	 9.300	
p35_a08.data	 10.0	-3.414	 9.229	
p35_a09.data	 10.0	-3.545	 9.267	
p35_a10.data	 10.0	-2.476	 6.525	
p35_a20.data	 10.0	-2.227	 4.922	
p35_a30.data	 10.0	-1.703	 3.555	
p35_a40.data	 10.0	-1.603	 3.256	
p35_a50.data	 10.0	-1.570	 2.911	
p35_a60.data	 10.0	-1.366	 2.375	
p35_a70.data	 10.0	-1.274	 1.880	
p35_a80.data	 10.0	-1.337	 1.344	
p35_a90.data	 10.0	-1.732	 0.791	
