dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion
p30_pa+15_a09.data	220	243	298
p30_pa+15_a10.data	220	243	296
p30_pa+15_a20.data	219	242	285
p30_pa+15_a30.data	218	242	283
p30_pa+15_a40.data	219	242	282
p30_pa+15_a50.data	219	242	280
p30_pa+15_a60.data	217	240	276
p30_pa+15_a70.data	217	240	274
p30_pa+15_a80.data	216	239	273
p30_pa+15_a90.data	216	238	278
p30_pa+20_a00.data	224	251	327
p30_pa+20_a01.data	223	249	323
p30_pa+20_a02.data	222	248	322
p30_pa+20_a03.data	222	248	320
p30_pa+20_a04.data	220	245	316
p30_pa+20_a05.data	219	245	314
p30_pa+20_a06.data	219	243	315
p30_pa+20_a07.data	219	244	313
p30_pa+20_a08.data	219	243	302
p30_pa+20_a09.data	219	243	295
p30_pa+20_a10.data	218	242	293
p30_pa+20_a20.data	217	241	283
p30_pa+20_a30.data	217	241	281
p30_pa+20_a40.data	216	240	279
p30_pa+20_a50.data	216	240	278
p30_pa+20_a60.data	214	238	273
p30_pa+20_a70.data	214	238	271
p30_pa+20_a80.data	214	238	268
p30_pa+20_a90.data	211	235	275
p33_pa+00_a00.data	235	266	385
p33_pa+00_a01.data	236	266	376
p33_pa+00_a02.data	235	265	363
p33_pa+00_a03.data	233	263	357
p33_pa+00_a04.data	234	263	354
p33_pa+00_a05.data	232	261	350
p33_pa+00_a06.data	232	261	348
p33_pa+00_a07.data	231	260	345
p33_pa+00_a08.data	232	260	341
p33_pa+00_a09.data	230	259	337
p33_pa+00_a10.data	229	258	334
p33_pa+00_a20.data	230	258	318
p33_pa+00_a30.data	228	256	310
p33_pa+00_a40.data	228	256	308
p33_pa+00_a50.data	227	255	304
p33_pa+00_a60.data	227	255	301
p33_pa+00_a70.data	227	254	297
p33_pa+00_a80.data	227	254	295
p33_pa+00_a90.data	227	251	297
p33_pa+05_a00.data	233	266	377
p33_pa+05_a01.data	234	266	374
p33_pa+05_a02.data	228	264	371
p33_pa+05_a03.data	232	263	359
p33_pa+05_a04.data	231	262	349
p33_pa+05_a05.data	230	262	347
p33_pa+05_a06.data	230	262	344
p33_pa+05_a07.data	228	260	340
p33_pa+05_a08.data	229	260	338
p33_pa+05_a09.data	227	258	334
p33_pa+05_a10.data	226	257	332
p33_pa+05_a20.data	226	257	317
p33_pa+05_a30.data	225	256	311
p33_pa+05_a40.data	226	256	308
p33_pa+05_a50.data	225	255	304
p33_pa+05_a60.data	225	255	301
p33_pa+05_a70.data	222	252	296
p33_pa+05_a80.data	222	253	296
p33_pa+05_a90.data	222	252	300
p33_pa+10_a00.data	226	266	387
p33_pa+10_a01.data	225	265	385
p33_pa+10_a02.data	225	265	369
p33_pa+10_a03.data	225	264	366
p33_pa+10_a04.data	224	263	364
p33_pa+10_a05.data	224	263	362
p33_pa+10_a06.data	222	261	359
p33_pa+10_a07.data	222	261	357
p33_pa+10_a08.data	222	261	357
p33_pa+10_a09.data	222	261	352
p33_pa+10_a10.data	219	258	342
p33_pa+10_a20.data	218	257	323
p33_pa+10_a30.data	218	257	319
p33_pa+10_a40.data	217	256	315
p33_pa+10_a50.data	217	256	311
p33_pa+10_a60.data	216	255	307
p33_pa+10_a70.data	216	255	304
p33_pa+10_a80.data	215	254	303
p33_pa+10_a90.data	215	253	310
